vehicle_id,country_code,year,traffic_volume
LOR_GT3P5-6,PT,2014,17.08
LOR_GT3P5-6,SE,2014,73
LOR_GT3P5-6,SE,2014,70
LOR_GT3P5-6,SE,2014,70
LOR_GT3P5-6,SE,2014,67
LOR_GT3P5-6,SE,2014,61
LOR_GT3P5-6,SE,2014,60
LOR_GT3P5-6,SE,2014,57
LOR_GT3P5-6,SE,2014,57.088
LOR_GT3P5-6,SE,2014,57.872
LOR_GT3P5-6,SE,2014,58.373
LOR_GT3P5-6,SE,2014,59.318
LOR_GT3P5-6,SE,2014,60.921
LOR_GT3P5-6,TR,2014,475.511
LOR_GT3P5-6,TR,2014,509.284
LOR_GT3P5-6,TR,2014,509.079
LOR_GT3P5-6,TR,2014,427.178
LOR_GT3P5-6,TR,2014,385.78
LOR_GT3P5-6,TR,2014,475.31
LOR_GT3P5-6,TR,2014,489.619
LOR_GT3P5-6,TR,2014,459.393
LOR_GT3P5-6,TR,2014,446.276
LOR_GT3P5-6,TR,2014,394.276
LOR_GT6,CZ,2014,6046.935
LOR_GT6,CZ,2014,5925.165
LOR_GT6,CZ,2014,6874.48
LOR_GT6,FI,2014,1928
LOR_GT6,FR,2014,8659.888
LOR_GT6,FR,2014,8486.362
LOR_GT6,FR,2014,8358.852
LOR_GT6,FR,2014,8410.319
LOR_GT6,FR,2014,8385.385
LOR_GT6,FR,2014,8372.928
LOR_GT6,FR,2014,8402.987
LOR_GT6,FR,2014,7605.04
LOR_GT6,FR,2014,8131.587
LOR_GT6,FR,2014,8042.289
LOR_GT6,FR,2014,7740.429
LOR_GT6,FR,2014,7587.653
LOR_GT6,LT,2014,583.5
LOR_GT6,LT,2014,627.2
LOR_GT6,LT,2014,541
LOR_GT6,LT,2014,600.6
LOR_GT6,LT,2014,726.5
LOR_GT6,LT,2014,776.9
LOR_GT6,LT,2014,898.3
LOR_GT6,LT,2014,898
LOR_GT6,LT,2014,912.3
LOR_GT6,LT,2014,745.9
LOR_GT6,LT,2014,435.6
LOR_GT6,LT,2014,369.5
LOR_GT6,LV,2014,1401.8
LOR_GT6,LV,2014,434
LOR_GT6,LV,2014,404.8
LOR_GT6,LV,2014,422.8
LOR_GT6,LV,2014,440.2
LOR_GT6,LV,2014,457.6
LOR_GT6,LV,2014,449.5
LOR_GT6,LV,2014,472.8
LOR_GT6,LV,2014,407.3
LOR_GT6,LV,2014,376.6
LOR_GT6,LV,2014,370.1
LOR_GT6,LV,2014,371.5
LOR_GT6,MT,2014,52.37
LOR_GT6,MT,2014,57.35
LOR_GT6,MT,2014,24.72
LOR_GT6,MT,2014,68.43
LOR_GT6,MT,2014,65.23
LOR_GT6,MT,2014,62.27
LOR_GT6,MT,2014,57.14
LOR_GT6,MT,2014,53.1
LOR_GT6,MT,2014,53.36
LOR_GT6,MT,2014,50.326
LOR_GT6,MT,2014,53.422
LOR_GT6,MT,2014,50.962
LOR_GT6,NO,2014,2046
LOR_GT6,NO,2014,2066
LOR_GT6,NO,2014,2060
LOR_GT6,NO,2014,1408
LOR_GT6,NO,2014,1433
LOR_GT6,NO,2014,1433
LOR_GT6,NO,2014,1451
LOR_GT6,NO,2014,1402
LOR_GT6,NO,2014,1396
LOR_GT6,NO,2014,1413
LOR_GT6,NO,2014,1354
LOR_GT6,NO,2014,1332
LOR_GT6,PT,2014,736
LOR_GT6,PT,2014,710
LOR_GT6,PT,2014,737.32
LOR_GT6,PT,2014,628.39
LOR_GT6,PT,2014,591.62
LOR_GT6,PT,2014,550.47
LOR_GT6,PT,2014,540.5
LOR_GT6,SE,2014,3922
LOR_GT6,SE,2014,3912
LOR_GT6,SE,2014,3924
LOR_GT6,SE,2014,3969
LOR_GT6,SE,2014,4060
LOR_GT6,SE,2014,4103
LOR_GT6,SE,2014,4067
LOR_GT6,SE,2014,3284.738
LOR_GT6,SE,2014,3399.227
LOR_GT6,SE,2014,3434.167
LOR_GT6,SE,2014,3269.636
LOR_GT6,SE,2014,3168.612
LOR_GT6,TR,2014,15455.051
LOR_GT6,TR,2014,15374.511
LOR_GT6,TR,2014,15354.711
LOR_GT6,TR,2014,14732.792
LOR_GT6,TR,2014,13913.961
LOR_GT6,TR,2014,15160.284
LOR_GT6,TR,2014,15131.294
LOR_GT6,TR,2014,14448.603
LOR_GT6,TR,2014,14627.854
LOR_GT6,TR,2014,13919.435
LOR_LE3P5,BE,2014,10466
LOR_LE3P5,BE,2014,10799
LOR_LE3P5,BE,2014,11105
LOR_LE3P5,BE,2014,11573
LOR_LE3P5,BE,2014,11971
LOR_LE3P5,CZ,2014,8735.865
LOR_LE3P5,CZ,2014,8531.039
LOR_LE3P5,CZ,2014,8127.33
LOR_LE3P5,DE,2014,36848
LOR_LE3P5,DE,2014,39120
LOR_LE3P5,DE,2014,41475
LOR_LE3P5,DE,2014,43641
LOR_LE3P5,DE,2014,45854
LOR_LE3P5,DE,2014,47912
LOR_LE3P5,DE,2014,49931
LOR_LE3P5,DE,2014,51284
LOR_LE3P5,DE,2014,52827
LOR_LE3P5,DE,2014,54279
LOR_LE3P5,DE,2014,54606
LOR_LE3P5,DE,2014,54961
LOR_LE3P5,FI,2014,5437
LOR_LE3P5,FR,2014,60956.334
LOR_LE3P5,FR,2014,61656.267
LOR_LE3P5,FR,2014,62316.469
LOR_LE3P5,FR,2014,63526.056
LOR_LE3P5,FR,2014,64169.318
LOR_LE3P5,FR,2014,65995.546
LOR_LE3P5,FR,2014,67385.134
LOR_LE3P5,FR,2014,61497.856
LOR_LE3P5,FR,2014,68440.994
LOR_LE3P5,FR,2014,68254.554
LOR_LE3P5,FR,2014,66553.849
LOR_LE3P5,FR,2014,65974.182
LOR_LE3P5,HR,2014,3127
LOR_LE3P5,HR,2014,3159
LOR_LE3P5,HR,2014,3401
LOR_LE3P5,HR,2014,3485
LOR_LE3P5,HR,2014,3493
LOR_LE3P5,HR,2014,3789
LOR_LE3P5,IS,2014,149
LOR_LE3P5,IS,2014,127
LOR_LE3P5,IS,2014,126
LOR_LE3P5,IS,2014,160
LOR_LE3P5,LT,2014,370.1
LOR_LE3P5,LT,2014,353.8
LOR_LE3P5,LT,2014,290.3
LOR_LE3P5,LT,2014,335.7
LOR_LE3P5,LT,2014,297.7
LOR_LE3P5,LT,2014,297.9
LOR_LE3P5,LT,2014,271.5
LOR_LE3P5,LT,2014,220.3
LOR_LE3P5,LT,2014,226.9
LOR_LE3P5,LT,2014,177.4
LOR_LE3P5,LT,2014,435.9
LOR_LE3P5,LT,2014,371.3
LOR_LE3P5,LV,2014,971.1
LOR_LE3P5,LV,2014,1100.3
LOR_LE3P5,LV,2014,1157.9
LOR_LE3P5,LV,2014,1186.5
LOR_LE3P5,LV,2014,1227.9
LOR_LE3P5,LV,2014,1235.7
LOR_LE3P5,LV,2014,1294
LOR_LE3P5,LV,2014,1341.9
LOR_LE3P5,LV,2014,1160.6
LOR_LE3P5,LV,2014,1150.6
LOR_LE3P5,LV,2014,1213.5
LOR_LE3P5,LV,2014,1232.8
LOR_LE3P5,MT,2014,303.81
LOR_LE3P5,MT,2014,364.81
LOR_LE3P5,MT,2014,300.49
LOR_LE3P5,MT,2014,420.5
LOR_LE3P5,MT,2014,425.87
LOR_LE3P5,MT,2014,403.71
LOR_LE3P5,MT,2014,367.34
LOR_LE3P5,MT,2014,324.2
LOR_LE3P5,MT,2014,358.59
LOR_LE3P5,MT,2014,348.432
LOR_LE3P5,MT,2014,350.804
LOR_LE3P5,MT,2014,340.185
LOR_LE3P5,NL,2014,15877
LOR_LE3P5,NL,2014,15864
LOR_LE3P5,NL,2014,16117
LOR_LE3P5,NL,2014,16703
LOR_LE3P5,NL,2014,17181
LOR_LE3P5,NL,2014,17451
LOR_LE3P5,NL,2014,17867
LOR_LE3P5,NL,2014,17316
LOR_LE3P5,NL,2014,18144
LOR_LE3P5,NL,2014,18149
LOR_LE3P5,NL,2014,18124
